64,B03ACIAPP017,EIW_DPROP_LOAD3,EIW_APPLY_NET1,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange1_apply.sh,eiwdprop,-,EIW_DPROPLOAD3
68,B03ACIAPP017,EIW_DPROP_LOAD3,EIW_END_DPROP3,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/END_DPROPger_AP.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET4,EIW_DPROPLOAD3
74,B03ACIAPP017,EIW_DPROP_LOAD3,EIW_EXPORT_CVI,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/CVI_export_load.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_CVI,EIW_DPROPLOAD3
48,B03ACIAPP017,EIW_DPROP_LOAD2,EIW_EXPORT_CVI,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/CVI_export_load.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_CVI,EIW_DPROPLOAD2
60,B03ACIAPP017,EIW_PM_DLY_EM,EIW_PM_SECURITY,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/security.sh,eiwclst,B03ACIAPP017#/db2/db2load3/LM/data/FLAG/PM_CMPNT_FACT_30_DONE,EIW_PM_DLYEM
53,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTLC_30_MTRC_30,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/metrics.sh 30,eiwclst,"B03ACIAPP019#EIW_OPPDTLC_30_CMF1_30,B03ACIAPP019#EIW_OPPDTLC_30_ODEC1_30,",EIW_OPPDTLC30
84,B03ACIAPP017,EIW_OPPINIT_AM_W,EIW_OPPINIT_AM,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/initruleengine_weekly.sh AM,eiwclst,B03ACIAPP019#EIW_OPPDTLI_AM_W.EIW_OPPDTLINIT_AM,EIW_OPPINIT_AMW
57,B03ACIAPP017,EIW_OPPINIT_30_W,EIW_OPPINIT_30,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/initruleengine_weekly.sh 30,eiwclst,B03ACIAPP019#EIW_OPPDTLI_30_W.EIW_OPPDTLINIT_30,EIW_OPPINIT_30W
54,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTL_30_OWNG_30,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/fulfillcode.sh 30,eiwclst,"B03ACIAPP019#EIW_OPPDTLC_30_CMF2_30,",EIW_OPPDTLC30
56,B03ACIAPP017,EIW_DAP_EM,EIW_PM_DLYREV,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/dlyrev.sh,eiwclst,B03ACIAPP017#EIW_PM_DLYGEOINIT_EM,EIW_DAPEM
83,B03ACIAPP017,EIW_DAP_AM,EIW_PM_DLYREV,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/dlyrev.sh,eiwclst,B03ACIAPP017#EIW_PM_DLYGEOINIT_AM,EIW_DAPAM
62,B03ACIAPP017,EIW_PM_DLY_EM,EIW_PM_DLYHANDOFF,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/dlyhandoff.sh,eiwclst,B03ACIAPP017#EIW_PM_DLY_EM.EIW_PM_DLYFINALPOP,EIW_PM_DLYEM
55,B03ACIAPP017,EIW_DAP_EM,EIW_PM_DLYGEOINIT_EM,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/dlygeoinit.sh 30,eiwclst,"B03ACIAPP019#EIW_CUBEOPP_30_W,B03ACIAPP019#EIW_OPPDTLC_30,B03ACIAPP019#EIW_PMREVF_30_W.EIW_PMREVFACT_30,B03ACIAPP019#EIW_W_ROGUE_30.EIW_W_ROGUE_30",EIW_DAPEM
63,B03ACIAPP017,EIW_GUPPY_DLY_EM,EIW_PDA_GUPPY_DLY_EM,B03ACIAPP017.ahe.boulder.ibm.com,,/db2/db2load3/downstream/Guppy/loadGuppyTable2PDA.sh 30,omatic,B03ACIAPP017#EIW_FEED_GUPPY_EM,EIW_GUPPY_DLYEM
103,B03ACIAPP017,EIW_P2V_AP_LOAD,EIW_P2V_AP_OMATIC_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh P2V_AP,omatic,B03ACIAPP018#EIW_P2V_AP_LOAD.EIW_P2V_AP_OMATIC_LOAD,EIW_P2V_APLOAD
102,B03ACIAPP017,EIW_P2C_AP_LOAD,EIW_P2C_AP_OMATIC_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh P2C_AP,omatic,B03ACIAPP018#EIW_P2C_AP_LOAD.EIW_P2C_AP_OMATIC_LOAD,EIW_P2C_APLOAD
119,B03ACIAPP017,EIW_W_HIST_AP,EIW_WKLY_LOAD_HIST_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh HIS_WKLYAP,omatic,B03ACIAPP017#EIW_PM_HIST_AP.EIW_PM_HISTHANDOFF,EIW_W_HISTAP
99,B03ACIAPP017,EIW_G_HIST_AP,EIW_GI_HIST_L_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh HISTGI_AP,omatic,B03ACIAPP017#EIW_G_HIST_AP.EIW_GI_HIST_T_AP,EIW_G_HISTAP
104,B03ACIAPP017,EIW_HIS_FACT_AP,EIW_HIS_FACT_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh HIS_FACTAP,omatic,B03ACIAPP019#EIW_DSPM_WKLY_AP.EIW_DS_PM_W_AP,EIW_HIS_FACTAP
123,B03ACIAPP017,EIW_PDA_ARDELOAD,EIW_PDA_ARDE28_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh ARDE28,omatic,B03ACIAPP017#/db2/db2load1/data/ARDE/data_test/group_arde28_ready_for_pda,EIW_PDAARDELOAD
126,B03ACIAPP017,EIW_PDA_ARDELOAD,EIW_PDA_ARDE02_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh ARDE02,omatic,B03ACIAPP017#/db2/db2load1/data/ARDE/data_test/group_arde02_ready_for_pda,EIW_PDAARDELOAD
97,B03ACIAPP017,EIW_AP_ODI_WKL,EIW_AP_ODI_L,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APWKLY_GI,omatic,B03ACIAPP017#EIW_OPPINIT_AP_W.EIW_OPPINIT_AP,EIW_AP_ODIWKL
122,B03ACIAPP019,EIW_TREND_W_AP,EIW_TREND_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APTREND_WK,omatic,"EIW_TREND_AP,",EIW_TREND_WAP
107,B03ACIAPP017,EIW_WSAI_SWP_AP,EIW_SCED_SWP_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APSCED_SWP,omatic,B03ACIAPP019#EIW_PST_SWP_W_AP.EIW_SCED_SWP_AP,EIW_WSAI_SWPAP
120,B03ACIAPP017,EIW_WSAI_SND_AP,EIW_SCED_SND_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APSCED_SND,omatic,B03ACIAPP019#EIW_PST_SND_W_AP.EIW_SCED_SND_AP,EIW_WSAI_SNDAP
125,B03ACIAPP017,EIW_WSAI_SHW_AP,EIW_SCED_SYSHW_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APSCED_SHW,omatic,B03ACIAPP019#EIW_PST_SHW_W_AP.EIW_SCED_SYSHW_AP,EIW_WSAI_SHWAP
116,B03ACIAPP017,EIW_WSAI_IBU_AP,EIW_SCED_IBU_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APSCED_IBU,omatic,B03ACIAPP019#EIW_PST_IBU_W_AP.EIW_SCED_IBU_AP,EIW_WSAI_IBUAP
108,B03ACIAPP017,EIW_WSAI_GTS_AP,EIW_SCED_GTS_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APSCED_GTS,omatic,B03ACIAPP019#EIW_PST_GTS_W_AP.EIW_SCED_GTS_AP,EIW_WSAI_GTSAP
94,B03ACIAPP017,EIW_AP_QTRSOL,EIW_SOL_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APADPM_FRI,omatic,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_AP_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_AP_DONE",EIW_APQTRSOL
85,B03ACIAPP017,EIW_AM_ODI_DLY,EIW_AM_ODI_D,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh AMDAILY_GI,omatic,B03ACIAPP017#EIW_OPPINIT_AM_W.EIW_OPPINIT_AM,EIW_AM_ODIDLY
100,B03ACIAPP017,EIW_G_HIST_AP,EIW_13WK_LD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh 13WK_AP,omatic,B03ACIAPP017#EIW_G_HIST_AP.EIW_GI_13W_T_AP,EIW_G_HISTAP
115,B03ACIAPP017,EIW_ARDE_DEL_APW,EIW_ARDE_DEL_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/bin/ardedeltrigger.sh AP,omatic,"B03ACIAPP017#EIW_PM_WKLY_AM.EIW_PM_WKLYHANDOFF,B03ACIAPP019#EIW_SNAP_WKLY_AP.EIW_SNAP_WK_AP",EIW_ARDE_DELAPW
106,B03ACIAPP017,EIW_PM_WKLY_AP,EIW_PM_WKLYREV,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/wklyrev.sh,eiwclst,B03ACIAPP017#EIW_PM_WKLY_AP.EIW_PM_WKLYGEOINIT_AP,EIW_PM_WKLYAP
110,B03ACIAPP017,EIW_PM_WKLY_AP,EIW_PM_WKLYHANDOFF,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/wklyhandoff.sh,eiwclst,B03ACIAPP017#EIW_PM_WKLY_AP.EIW_PM_WKLYFINALPOP,EIW_PM_WKLYAP
109,B03ACIAPP017,EIW_PM_WKLY_AP,EIW_PM_WKLYFINALPOP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/wklyfinalpop.sh,eiwclst,B03ACIAPP017#EIW_PM_WKLY_AP.EIW_PM_WKLYFCTS,EIW_PM_WKLYAP
86,B03ACIAPP017,EIW_PM_DLY_AM,EIW_PM_SECURITY,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/security.sh,eiwclst,B03ACIAPP017#/db2/db2load3/LM/data/FLAG/PM_CMPNT_FACT_AM_DONE,EIW_PM_DLYAM
98,B03ACIAPP017,EIW_G_HIST_AP,EIW_GI_HIST_T_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/initruleengine_hist_weekly.sh AP,eiwclst,B03ACIAPP017#EIW_G_HIST_AP.EIW_GI_HIST_B_AP,EIW_G_HISTAP
113,B03ACIAPP017,EIW_PM_HIST_AP,EIW_PM_HISTREV,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/histrev.sh,eiwclst,B03ACIAPP017#EIW_PM_HIST_AP.EIW_PM_HISTREF,EIW_PM_HISTAP
112,B03ACIAPP017,EIW_PM_HIST_AP,EIW_PM_HISTREF,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/histref.sh,eiwclst,B03ACIAPP017#EIW_PM_HIST_AP.EIW_PM_HISTGEOINIT,EIW_PM_HISTAP
