Server run,workstation,stream,job,dependency,schedule,ET,user,script
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_SND_EM,EIW_SCED_SND_LOAD_EM,B03ACIAPP019#EIW_PST_SND_W_EM.EIW_SCED_SND_EM,wed,00:00:00,omatic,/home/omatic/cdw/submit_PM.sh EMSCED_SND
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_EM_RDMAP_DLY,EIW_RM_DLY_LOAD_EM,"B03ACIAPP019#EIW_RM_D_30.EIW_ROADMAP_FACT_30_D,B03ACIAPP019#EIW_RM_W_30.EIW_ROADMAP_FACT_30_W","mon,tue,wed,thu,fri",00:00:56,omatic,/home/omatic/cdw/submit_PM.sh EM_RM_DLY
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_EM_RDMAP_DLY,EIW_RM_DLY_LOAD_EM,"B03ACIAPP019#EIW_RM_D_30.EIW_ROADMAP_FACT_30_D,B03ACIAPP019#EIW_RM_W_30.EIW_ROADMAP_FACT_30_W","mon,tue,wed,thu,fri",00:02:26,omatic,/home/omatic/cdw/submit_PM.sh EM_RM_DLY
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_AM_RDMAP_DLY,EIW_RM_DLY_LOAD_AM,"B03ACIAPP019#EIW_RM_D_AM.EIW_ROADMAP_FACT_AM_D,B03ACIAPP019#EIW_RM_W_AM.EIW_ROADMAP_FACT_AM_W","mon,tue,wed,thu,fri",00:01:06,omatic,/home/omatic/cdw/submit_PM.sh AM_RM_DLY
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_AM_RDMAP_DLY,EIW_RM_DLY_LOAD_AM,"B03ACIAPP019#EIW_RM_D_AM.EIW_ROADMAP_FACT_AM_D,B03ACIAPP019#EIW_RM_W_AM.EIW_ROADMAP_FACT_AM_W","mon,tue,wed,thu,fri",00:02:21,omatic,/home/omatic/cdw/submit_PM.sh AM_RM_DLY
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_AP_RDMAP_DLY,EIW_RM_DLY_LOAD_AP,"B03ACIAPP019#EIW_RM_D_AP.EIW_ROADMAP_FACT_AP_D,B03ACIAPP019#EIW_RM_W_AP.EIW_ROADMAP_FACT_AP_W","mon,tue,wed,thu,fri",00:01:31,omatic,/home/omatic/cdw/submit_PM.sh AP_RM_DLY
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_AP_RDMAP_DLY,EIW_RM_DLY_LOAD_AP,"B03ACIAPP019#EIW_RM_D_AP.EIW_ROADMAP_FACT_AP_D,B03ACIAPP019#EIW_RM_W_AP.EIW_ROADMAP_FACT_AP_W","mon,tue,wed,thu,fri",00:03:06,omatic,/home/omatic/cdw/submit_PM.sh AP_RM_DLY
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_AM_WKLY_LOAD,EIW_HIST_COMPRES,B03ACIAPP019#EIW_TREND_W_AM.EIW_TREND_LOAD_DM_AM,thu,00:54:58,omatic,/db2/db2load3/DST/del_transfer_2DST65/compress_AHE_del.sh history
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_AM_ODI_WKL,EIW_AM_ODI_L,EIW_OPPINIT_AM_W.EIW_OPPINIT_AM,wed,00:00:16,omatic,/home/omatic/cdw/submit_PM.sh AMWKLY_GI
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_TREND_W_30,EIW_TREND_LOAD_30,"EIW_TREND_30,",wed,00:11:40,omatic,/home/omatic/cdw/submit_PM.sh EMTREND_WK
